pg_txn_id,merchant_id,order_id,payment_method,card_network,settlement_id,settled_at,gross_amount,fee,tax,net_amount,error_code,status
pay_4a8dc6bac7464a,MID_RAZOR_991,ORD-2026-1013,NETBANKING,NA,setl_d95130689a,2026-04-02 15:15:09,4340.76,86.82,15.63,4238.31,,SETTLED
pay_9ebbd711435440,MID_RAZOR_991,ORD-2026-1014,NETBANKING,NA,setl_2f0bdb0180,2026-04-02 15:30:57,8961.23,179.22,32.26,8749.75,,SETTLED
pay_fb408433f06e41,MID_RAZOR_991,ORD-2026-1015,UPI,NA,setl_a3645fae5c,2026-04-02 15:45:48,1183.19,23.66,4.26,1155.27,,SETTLED
pay_38f54e8430f148,MID_RAZOR_991,ORD-2026-1016,NETBANKING,NA,setl_269a98d218,2026-04-02 16:00:38,1421.15,28.42,5.12,1387.61,,SETTLED
pay_aa025d889f6045,MID_RAZOR_991,ORD-2026-1017,UPI,NA,setl_94fe073244,2026-04-02 16:15:43,10950.47,219.01,39.42,10692.04,,SETTLED
pay_cc237bf8eba94a,MID_RAZOR_991,ORD-2026-1018,UPI,NA,setl_f4c19fbbc8,2026-04-02 16:30:18,6804.1,136.08,24.49,6643.53,,SETTLED
pay_e47af17674fd42,MID_RAZOR_991,ORD-2026-1019,CREDIT_CARD,Mastercard,setl_8cfa2fac3b,2026-04-02 16:45:58,2042.96,40.86,7.35,1994.75,,SETTLED
pay_6661ea65b24744,MID_RAZOR_991,ORD-2026-1020,CREDIT_CARD,Visa,setl_46e23f38dd,2026-04-02 17:00:48,2842.46,56.85,10.23,2775.38,,SETTLED
pay_e1d5903716de4e,MID_RAZOR_991,ORD-2026-1021,UPI,NA,setl_c7b94886ac,2026-04-02 17:15:07,13971.93,279.44,50.3,13642.19,,SETTLED
pay_f805f43e2c4941,MID_RAZOR_991,ORD-2026-1022,UPI,NA,setl_ddbe58f648,2026-04-02 17:30:05,11112.66,222.25,40.0,10850.41,,SETTLED
pay_24506e9baaff4c,MID_RAZOR_991,ORD-2026-1023,NETBANKING,NA,setl_a7e990166c,2026-04-02 17:45:35,2894.34,57.89,10.42,2826.03,,SETTLED
pay_384c3006e63a48,MID_RAZOR_991,ORD-2026-1024,CREDIT_CARD,Mastercard,setl_f5a95da1cb,2026-04-02 18:00:19,6285.39,125.71,22.63,6137.05,,SETTLED
pay_596cee633f3946,MID_RAZOR_991,ORD-2026-1025,CREDIT_CARD,RuPay,setl_4e506614b0,2026-04-02 18:15:21,805.0,16.1,2.9,786.0,,SETTLED
pay_796f3637ebc343,MID_RAZOR_991,ORD-2026-1026,UPI,NA,setl_8463c31ee9,2026-04-02 18:30:14,1477.3,29.55,5.32,1442.43,,SETTLED
pay_c6187fd5d61c42,MID_RAZOR_991,ORD-2026-1027,DEBIT_CARD,Mastercard,setl_af24857de9,2026-04-02 18:45:31,3606.43,72.13,12.98,3521.32,,SETTLED
pay_af5995a8f18549,MID_RAZOR_991,ORD-2026-1028,CREDIT_CARD,Visa,setl_42aeefbde5,2026-04-02 19:00:51,6402.37,128.05,23.05,6251.27,,SETTLED
pay_1726314591d049,MID_RAZOR_991,ORD-2026-1029,NETBANKING,NA,setl_ecea84f969,2026-04-02 19:15:26,7271.86,145.44,26.18,7100.24,,SETTLED
pay_a46d6bb8d0614d,MID_RAZOR_991,ORD-2026-1030,UPI,NA,setl_2ba2630557,2026-04-02 19:30:03,6338.01,126.76,22.82,6188.43,,SETTLED
pay_10c1c590987447,MID_RAZOR_991,ORD-2026-1031,NETBANKING,NA,setl_d7972bddec,2026-04-02 19:45:08,6617.28,132.35,23.82,6461.11,,SETTLED
pay_655248f3810248,MID_RAZOR_991,ORD-2026-1032,NETBANKING,NA,setl_26c9562c7a,2026-04-02 20:00:51,12989.56,259.79,46.76,12683.01,,SETTLED
pay_e77af7d5f7de4d,MID_RAZOR_991,ORD-2026-1033,UPI,NA,setl_ea1c66dd0c,2026-04-02 20:15:05,13932.32,278.65,50.16,13603.51,,SETTLED
pay_46c94a1177b844,MID_RAZOR_991,ORD-2026-1034,CREDIT_CARD,Visa,setl_59d325da16,2026-04-02 20:30:57,1350.21,27.0,4.86,1318.35,,SETTLED
pay_a86b996c75594c,MID_RAZOR_991,ORD-2026-1035,NETBANKING,NA,setl_3fc7c3cdff,2026-04-02 20:45:18,6633.61,132.67,23.88,6477.06,,SETTLED
pay_8f27d05f53a347,MID_RAZOR_991,ORD-2026-1036,UPI,NA,setl_bba49fe412,2026-04-02 21:00:37,11168.19,223.36,40.2,10904.63,,SETTLED
pay_e240eaf3a7e74f,MID_RAZOR_991,ORD-2026-1037,NETBANKING,NA,setl_d61e5a3351,2026-04-02 21:15:32,13831.11,276.62,49.79,13504.7,,SETTLED
pay_00bc9ccb34af4d,MID_RAZOR_991,ORD-2026-1038,UPI,NA,setl_83fbcfdbc6,2026-04-02 21:30:54,3194.46,63.89,11.5,3119.07,,SETTLED
pay_ee1d0d5878944a,MID_RAZOR_991,ORD-2026-1039,CREDIT_CARD,Mastercard,setl_1c09ead38d,2026-04-02 21:45:38,1076.25,21.53,3.88,1050.84,,SETTLED
pay_1ca7c53371144c,MID_RAZOR_991,ORD-2026-1040,DEBIT_CARD,Visa,setl_4913d27891,2026-04-02 22:00:13,10211.03,204.22,36.76,9970.05,,SETTLED
pay_799f864efd434a,MID_RAZOR_991,ORD-2026-1041,DEBIT_CARD,Visa,setl_0a6cbdac96,2026-04-02 22:15:20,13970.77,279.42,50.3,13641.05,,SETTLED
pay_16a41f74856248,MID_RAZOR_991,ORD-2026-1042,UPI,NA,setl_b745db7f8b,2026-04-02 22:30:04,8295.7,165.91,29.86,8099.93,,SETTLED
pay_bff1b9e2f6e04b,MID_RAZOR_991,ORD-2026-1043,UPI,NA,setl_4f423072a5,2026-04-02 22:45:56,4042.12,80.84,14.55,3946.73,,SETTLED
pay_1da2886a3f044a,MID_RAZOR_991,ORD-2026-1044,DEBIT_CARD,Mastercard,setl_6b6b973e88,2026-04-02 23:00:51,9982.66,199.65,35.94,9747.07,,SETTLED
pay_aa9c0d3337474c,MID_RAZOR_991,ORD-2026-1045,UPI,NA,setl_c16ec2d65d,2026-04-02 23:15:56,2447.22,48.94,8.81,2389.47,,SETTLED
pay_51b932a03a934d,MID_RAZOR_991,ORD-2026-1046,DEBIT_CARD,Visa,setl_6c2fa6b5be,2026-04-02 23:30:38,3554.13,71.08,12.79,3470.26,,SETTLED
pay_a2fe2b7d832a48,MID_RAZOR_991,ORD-2026-1047,NETBANKING,NA,setl_e2373e4217,2026-04-02 23:45:16,13627.38,272.55,49.06,13305.77,,SETTLED
pay_380c9549719c4f,MID_RAZOR_991,ORD-2026-1048,DEBIT_CARD,RuPay,setl_3992ebf7b8,2026-04-03 00:00:00,5336.57,106.73,19.21,5210.63,,SETTLED
pay_0f5cb5e6dc7b4e,MID_RAZOR_991,ORD-2026-1049,NETBANKING,NA,setl_cab44e49c3,2026-04-03 00:15:35,640.21,12.8,2.3,625.11,,SETTLED
pay_60d5e7d319f040,MID_RAZOR_991,ORD-2026-1050,DEBIT_CARD,Mastercard,setl_48250e303d,2026-04-03 00:30:35,2647.36,52.95,9.53,2584.88,,SETTLED
pay_5ae9fcea58de4a,MID_RAZOR_991,ORD-2026-1051,UPI,NA,setl_acc906a741,2026-04-03 00:45:57,5688.23,113.76,20.48,5553.99,,SETTLED
pay_8e07600065ec48,MID_RAZOR_991,ORD-2026-1052,NETBANKING,NA,setl_6010531bd7,2026-04-03 01:00:39,11367.43,227.35,40.92,11099.16,,SETTLED
pay_2d6a05b0bc3d46,MID_RAZOR_991,ORD-2026-1053,UPI,NA,setl_5408bf8b0c,2026-04-03 01:15:11,11180.18,223.6,40.25,10916.33,,SETTLED
pay_b69bcad106ed49,MID_RAZOR_991,ORD-2026-1054,CREDIT_CARD,Visa,setl_9772e7e7bf,2026-04-03 01:30:10,11916.93,238.34,42.9,11635.69,,SETTLED
pay_65ad5327816944,MID_RAZOR_991,ORD-2026-1055,CREDIT_CARD,Visa,setl_1b99a77492,2026-04-03 01:45:22,4925.27,98.51,17.73,4809.03,,SETTLED
pay_d72a0546bcfd48,MID_RAZOR_991,ORD-2026-1056,NETBANKING,NA,setl_517d56ca7e,2026-04-03 02:00:21,4539.74,90.79,16.34,4432.61,,SETTLED
pay_e044ad890b2b47,MID_RAZOR_991,ORD-2026-1057,NETBANKING,NA,setl_41b5b2e78e,2026-04-03 02:15:43,14726.67,294.53,53.02,14379.12,,SETTLED
pay_6b6deab9cf7441,MID_RAZOR_991,ORD-2026-1058,CREDIT_CARD,Mastercard,setl_72f75fd073,2026-04-03 02:30:16,1054.73,21.09,3.8,1029.84,,SETTLED
pay_57f01366c9b44b,MID_RAZOR_991,ORD-2026-1059,NETBANKING,NA,setl_32681883fb,2026-04-03 02:45:38,14771.42,295.43,53.18,14422.81,,SETTLED
pay_6ee37ee704f94d,MID_RAZOR_991,ORD-2026-1060,NETBANKING,NA,setl_23d489361a,2026-04-03 03:00:00,8038.85,160.78,28.94,7849.13,,SETTLED
pay_71b00214d85d4f,MID_RAZOR_991,ORD-2026-1061,CREDIT_CARD,Visa,setl_86bccd993f,2026-04-03 03:15:27,1514.62,30.29,5.45,1478.88,,SETTLED
pay_7f2ec868c38145,MID_RAZOR_991,ORD-2026-1062,DEBIT_CARD,Mastercard,setl_1d4afa169c,2026-04-03 03:30:19,10169.95,203.4,36.61,9929.94,,SETTLED
pay_14722902c8d843,MID_RAZOR_991,ORD-2026-1063,CREDIT_CARD,RuPay,setl_b23235265e,2026-04-03 03:45:26,10141.48,202.83,36.51,9902.14,,SETTLED
pay_42fc4ef5ec3144,MID_RAZOR_991,ORD-2026-1064,DEBIT_CARD,Visa,setl_961254b468,2026-04-03 04:00:35,12589.01,251.78,45.32,12291.91,,SETTLED
pay_3339ff77acf445,MID_RAZOR_991,ORD-2026-1065,DEBIT_CARD,Visa,setl_377cad50f1,2026-04-03 04:15:28,6911.32,138.23,24.88,6748.21,,SETTLED
pay_42b73334053c4b,MID_RAZOR_991,ORD-2026-1066,CREDIT_CARD,Mastercard,setl_75e28e384b,2026-04-03 04:30:05,4614.9,92.3,16.61,4505.99,,SETTLED
pay_08dddfad6d4c45,MID_RAZOR_991,ORD-2026-1067,DEBIT_CARD,RuPay,setl_f43329a253,2026-04-03 04:45:51,3387.38,67.75,12.2,3307.43,,SETTLED
pay_551cce1b254a44,MID_RAZOR_991,ORD-2026-1068,UPI,NA,setl_11f07e5287,2026-04-03 05:00:29,6509.39,130.19,23.43,6355.77,,SETTLED
pay_b03335279c0b45,MID_RAZOR_991,ORD-2026-1069,NETBANKING,NA,setl_db553188fa,2026-04-03 05:15:15,2639.78,52.8,9.5,2577.48,,SETTLED
pay_ff32b036d23446,MID_RAZOR_991,ORD-2026-1070,CREDIT_CARD,Mastercard,setl_e38c7f1334,2026-04-03 05:30:33,7235.97,144.72,26.05,7065.2,,SETTLED
pay_65156bb05ad14f,MID_RAZOR_991,ORD-2026-1071,NETBANKING,NA,setl_494650d47e,2026-04-03 05:45:42,8201.41,164.03,29.53,8007.85,,SETTLED
pay_763efc9dbd9b4c,MID_RAZOR_991,ORD-2026-1072,NETBANKING,NA,setl_4e06ed42ec,2026-04-03 06:00:53,13649.39,272.99,49.14,13327.26,,SETTLED
pay_6a813abcac8b41,MID_RAZOR_991,ORD-2026-1073,NETBANKING,NA,setl_04e8a6ad06,2026-04-03 06:15:16,11400.76,228.02,41.04,11131.7,,SETTLED
pay_6cd7542297cd4b,MID_RAZOR_991,ORD-2026-1074,DEBIT_CARD,Visa,setl_00ae753bde,2026-04-03 06:30:04,10846.4,216.93,39.05,10590.42,,SETTLED
pay_9e869f3dafc241,MID_RAZOR_991,ORD-2026-1075,UPI,NA,setl_ad4525522d,2026-04-03 06:45:08,2687.04,53.74,9.67,2623.63,,SETTLED
pay_55dca6bbd6114c,MID_RAZOR_991,ORD-2026-1076,UPI,NA,setl_f40d0a9e1d,2026-04-03 07:00:26,6410.19,128.2,23.08,6258.91,,SETTLED
pay_8e6b7e32b4384f,MID_RAZOR_991,ORD-2026-1077,NETBANKING,NA,setl_f1e241f7cb,2026-04-03 07:15:24,13620.16,272.4,49.03,13298.73,,SETTLED
pay_775353cbc3d545,MID_RAZOR_991,ORD-2026-1078,DEBIT_CARD,Visa,setl_578e986b65,2026-04-03 07:30:48,6154.81,123.1,22.16,6009.55,,SETTLED
pay_720c3c8e441e48,MID_RAZOR_991,ORD-2026-1079,CREDIT_CARD,Visa,setl_e4aa1c777c,2026-04-03 07:45:14,4457.56,89.15,16.05,4352.36,,SETTLED
pay_456f5f2cbd5d40,MID_RAZOR_991,ORD-2026-1080,NETBANKING,NA,setl_f68d6a2039,2026-04-03 08:00:46,2893.15,57.86,10.41,2824.88,,SETTLED
pay_c25aa91d79d443,MID_RAZOR_991,ORD-2026-1081,UPI,NA,setl_3de4d7e64e,2026-04-03 08:15:05,9819.87,196.4,35.35,9588.12,,SETTLED
pay_e8b7f9084a5b45,MID_RAZOR_991,ORD-2026-1082,NETBANKING,NA,setl_cdba10fe26,2026-04-03 08:30:20,3569.07,71.38,12.85,3484.84,,SETTLED
pay_9737a05cc4d544,MID_RAZOR_991,ORD-2026-1083,DEBIT_CARD,Visa,setl_8ac242f3dd,2026-04-03 08:45:16,12606.21,252.12,45.38,12308.71,,SETTLED
pay_bb4ba729e1ca4f,MID_RAZOR_991,ORD-2026-1084,DEBIT_CARD,RuPay,setl_28b9cacbfd,2026-04-03 09:00:41,1494.97,29.9,5.38,1459.69,,SETTLED
pay_ccc2a4a255154e,MID_RAZOR_991,ORD-2026-1085,CREDIT_CARD,RuPay,setl_68042c899a,2026-04-03 09:15:08,7366.64,147.33,26.52,7192.79,,SETTLED
pay_14900d7061a140,MID_RAZOR_991,ORD-2026-1086,DEBIT_CARD,RuPay,setl_2761fd8a76,2026-04-03 09:30:38,9305.09,186.1,33.5,9085.49,,SETTLED
pay_f0b05ef2be0847,MID_RAZOR_991,ORD-2026-1087,DEBIT_CARD,Mastercard,setl_227bf80bdf,2026-04-03 09:45:43,13666.38,273.33,49.2,13343.85,,SETTLED
pay_96dcb57fd5c941,MID_RAZOR_991,ORD-2026-1088,CREDIT_CARD,RuPay,setl_a22fa15000,2026-04-03 10:00:44,11700.97,234.02,42.12,11424.83,,SETTLED
pay_a438772dd19d4b,MID_RAZOR_991,ORD-2026-1089,NETBANKING,NA,setl_d9f086c428,2026-04-03 10:15:42,5873.28,117.47,21.14,5734.67,,SETTLED
pay_47a77a759e2f45,MID_RAZOR_991,ORD-2026-1090,NETBANKING,NA,setl_2abb30b3b6,2026-04-03 10:30:06,6786.09,135.72,24.43,6625.94,,SETTLED
pay_d4d7470f48064c,MID_RAZOR_991,ORD-2026-1091,NETBANKING,NA,setl_49eb483dc0,2026-04-03 10:45:11,11140.03,222.8,40.1,10877.13,,SETTLED
pay_1ec16c19ecd547,MID_RAZOR_991,ORD-2026-1092,NETBANKING,NA,setl_7e52027b72,2026-04-03 11:00:27,12473.15,249.46,44.9,12178.79,,SETTLED
pay_e3147077ce1b4c,MID_RAZOR_991,ORD-2026-1093,DEBIT_CARD,Visa,setl_d6958dc923,2026-04-03 11:15:15,11381.91,227.64,40.98,11113.29,,SETTLED
pay_7f9d541cb33647,MID_RAZOR_991,ORD-2026-1094,CREDIT_CARD,Visa,setl_72d0d289cb,2026-04-03 11:30:13,5644.96,112.9,20.32,5511.74,,SETTLED
pay_0b520b87744047,MID_RAZOR_991,ORD-2026-1095,DEBIT_CARD,Mastercard,setl_d99bd783d9,2026-04-03 11:45:00,7991.1,159.82,28.77,7802.51,,SETTLED
pay_19dc2c2432c84a,MID_RAZOR_991,ORD-2026-1096,NETBANKING,NA,setl_9114aa85de,2026-04-03 12:00:35,11493.39,229.87,41.38,11222.14,,SETTLED
pay_45bb93f6d55b4a,MID_RAZOR_991,ORD-2026-1097,UPI,NA,setl_af060c0784,2026-04-03 12:15:05,4766.42,95.33,17.16,4653.93,,SETTLED
pay_5d9e47a9ad5e4b,MID_RAZOR_991,ORD-2026-1098,DEBIT_CARD,Visa,setl_f1f4d9aa76,2026-04-03 12:30:35,8198.37,163.97,29.51,8004.89,,SETTLED
pay_8c5bd23fa59e4e,MID_RAZOR_991,ORD-2026-1099,NETBANKING,NA,setl_1705540b67,2026-04-03 12:45:17,4946.03,98.92,17.81,4829.3,,SETTLED
pay_702367e698ed46,MID_RAZOR_991,ORD-2026-1100,UPI,NA,setl_2c4c8e2bd9,2026-04-03 13:00:47,8270.03,165.4,29.77,8074.86,,SETTLED
pay_06c3400136ce41,MID_RAZOR_991,ORD-2026-1101,DEBIT_CARD,Mastercard,setl_a8f7b5abc6,2026-04-03 13:15:37,14660.8,293.22,52.78,14314.8,,SETTLED
pay_538a2d33498740,MID_RAZOR_991,ORD-2026-1102,CREDIT_CARD,Visa,setl_29221c01e0,2026-04-03 13:30:14,5732.78,114.66,20.64,5597.48,,SETTLED
pay_e4bb9721b66240,MID_RAZOR_991,ORD-2026-1103,DEBIT_CARD,RuPay,setl_b480b0e357,2026-04-03 13:45:03,8523.71,170.47,30.68,8322.56,,SETTLED
pay_f74c85831b394e,MID_RAZOR_991,ORD-2026-1104,DEBIT_CARD,Visa,setl_ac9ebc7800,2026-04-03 14:00:30,6886.8,137.74,24.79,6724.27,,SETTLED
pay_fae87467ba3441,MID_RAZOR_991,ORD-2026-1105,UPI,NA,setl_13c23b6e30,2026-04-03 14:15:52,1447.48,28.95,5.21,1413.32,,SETTLED
pay_ea23d494fb3a44,MID_RAZOR_991,ORD-2026-1106,UPI,NA,setl_c8fd85fe7c,2026-04-03 14:30:09,2663.36,53.27,9.59,2600.5,,SETTLED
pay_e5dd5996b80841,MID_RAZOR_991,ORD-2026-1107,NETBANKING,NA,setl_2946a03d0b,2026-04-03 14:45:38,9143.84,182.88,32.92,8928.04,,SETTLED
pay_af21d1391cc041,MID_RAZOR_991,ORD-2026-1108,DEBIT_CARD,Mastercard,setl_e8bd8ec487,2026-04-03 15:00:27,4928.01,98.56,17.74,4811.71,,SETTLED
pay_070763331a1040,MID_RAZOR_991,ORD-2026-1109,CREDIT_CARD,Mastercard,setl_cb510e342d,2026-04-03 15:15:13,4337.37,86.75,15.62,4235.0,,SETTLED
pay_8fec77bfb3e543,MID_RAZOR_991,ORD-2026-1110,UPI,NA,setl_2b88438dcc,2026-04-03 15:30:10,538.8,10.78,1.94,526.08,,SETTLED
pay_5dcf3f033e264e,MID_RAZOR_991,ORD-2026-1111,UPI,NA,setl_25c5c5548d,2026-04-03 15:45:14,4677.52,93.55,16.84,4567.13,,SETTLED
pay_aaf4b870108544,MID_RAZOR_991,ORD-2026-1112,DEBIT_CARD,Mastercard,setl_01d66cf526,2026-04-03 16:00:37,10087.15,201.74,36.31,9849.1,,SETTLED
pay_92604e19a3c247,MID_RAZOR_991,ORD-2026-1113,CREDIT_CARD,Visa,setl_5dc89cfb28,2026-04-03 16:15:52,2562.43,51.25,9.22,2501.96,,SETTLED
pay_f37ab4fb25384a,MID_RAZOR_991,ORD-2026-1114,DEBIT_CARD,Visa,setl_3c220600ff,2026-04-03 16:30:07,7296.12,145.92,26.27,7123.93,,SETTLED
pay_cd18a87130134c,MID_RAZOR_991,ORD-2026-1115,NETBANKING,NA,setl_287bc0dd00,2026-04-03 16:45:28,1666.41,33.33,6.0,1627.08,,SETTLED
pay_88d06cf96bca48,MID_RAZOR_991,ORD-2026-1116,DEBIT_CARD,RuPay,setl_42103c206a,2026-04-03 17:00:05,3819.4,76.39,13.75,3729.26,,SETTLED
pay_d696fbfe036544,MID_RAZOR_991,ORD-2026-1117,CREDIT_CARD,Visa,setl_a76aac1820,2026-04-03 17:15:33,9946.89,198.94,35.81,9712.14,,SETTLED
pay_3606e440cc594a,MID_RAZOR_991,ORD-2026-1118,NETBANKING,NA,setl_c1bb387b34,2026-04-03 17:30:05,7315.15,146.3,26.33,7142.52,,SETTLED
pay_28e5e5ea164c4d,MID_RAZOR_991,ORD-2026-1119,CREDIT_CARD,Visa,setl_19389731cc,2026-04-03 17:45:26,10558.27,211.17,38.01,10309.09,,SETTLED
pay_668182203dd748,MID_RAZOR_991,ORD-2026-1120,UPI,NA,setl_e113bdac8f,2026-04-03 18:00:29,1776.87,35.54,6.4,1734.93,,SETTLED
pay_ace8670f36474d,MID_RAZOR_991,ORD-2026-1121,NETBANKING,NA,setl_6408c9f624,2026-04-03 18:15:55,7961.65,159.23,28.66,7773.76,,SETTLED
pay_17c081f4a63648,MID_RAZOR_991,ORD-2026-1122,CREDIT_CARD,Mastercard,setl_761473a01e,2026-04-03 18:30:23,9528.19,190.56,34.3,9303.33,,SETTLED
pay_a66e163eac274f,MID_RAZOR_991,ORD-2026-1123,CREDIT_CARD,Visa,setl_1f15f299a9,2026-04-03 18:45:35,2399.69,47.99,8.64,2343.06,,SETTLED
pay_04442b1c693b45,MID_RAZOR_991,ORD-2026-1124,CREDIT_CARD,Mastercard,setl_0f3f99362e,2026-04-03 19:00:10,5005.88,100.12,18.02,4887.74,,SETTLED
pay_a3fa0511b5e744,MID_RAZOR_991,ORD-2026-1125,UPI,NA,setl_d34441c91c,2026-04-03 19:15:29,14232.38,284.65,51.24,13896.49,,SETTLED
pay_7c647f26717741,MID_RAZOR_991,ORD-2026-1126,DEBIT_CARD,Visa,setl_4ff682807d,2026-04-03 19:30:53,7496.24,149.92,26.99,7319.33,,SETTLED
pay_511c23bf68564c,MID_RAZOR_991,ORD-2026-1127,NETBANKING,NA,setl_5988538759,2026-04-03 19:45:12,13867.09,277.34,49.92,13539.83,,SETTLED
pay_079a962cff6941,MID_RAZOR_991,ORD-2026-1128,NETBANKING,NA,setl_42ab74a9ae,2026-04-03 20:00:21,14046.6,280.93,50.57,13715.1,,SETTLED
pay_f879f2a0f9a44f,MID_RAZOR_991,ORD-2026-1129,NETBANKING,NA,setl_02ff35f253,2026-04-03 20:15:55,2654.63,53.09,9.56,2591.98,,SETTLED
pay_03dca57bf6bf43,MID_RAZOR_991,ORD-2026-1130,NETBANKING,NA,setl_379910e85c,2026-04-03 20:30:29,14026.36,280.53,50.5,13695.33,,SETTLED
pay_7b17935ebcba4c,MID_RAZOR_991,ORD-2026-1131,CREDIT_CARD,Visa,setl_a500440e2b,2026-04-03 20:45:02,5113.56,102.27,18.41,4992.88,,SETTLED
pay_2a44a4fda0954f,MID_RAZOR_991,ORD-2026-1132,CREDIT_CARD,Visa,setl_f8d8956899,2026-04-03 21:00:02,2330.57,46.61,8.39,2275.57,,SETTLED
pay_e821e60c30f545,MID_RAZOR_991,ORD-2026-1133,NETBANKING,NA,setl_444ee7c0db,2026-04-03 21:15:00,10975.44,219.51,39.51,10716.42,,SETTLED
pay_c7b6a503452647,MID_RAZOR_991,ORD-2026-1134,DEBIT_CARD,Visa,setl_cfd266f55a,2026-04-03 21:30:39,10544.22,210.88,37.96,10295.38,,SETTLED
pay_ae685e90e74b44,MID_RAZOR_991,ORD-2026-1135,DEBIT_CARD,Mastercard,setl_75714d5667,2026-04-03 21:45:45,13367.86,267.36,48.12,13052.38,,SETTLED
pay_5e5fcaf4138d40,MID_RAZOR_991,ORD-2026-1136,CREDIT_CARD,Mastercard,setl_1f9b75d92b,2026-04-03 22:00:43,13853.47,277.07,49.87,13526.53,,SETTLED
pay_2d829002a1704d,MID_RAZOR_991,ORD-2026-1137,UPI,NA,setl_48ce1858bd,2026-04-03 22:15:28,2912.29,58.25,10.48,2843.56,,SETTLED
pay_9315935c90ec4f,MID_RAZOR_991,ORD-2026-1138,UPI,NA,setl_28457970ec,2026-04-03 22:30:18,5697.72,113.95,20.51,5563.26,,SETTLED
pay_e0ef16e117ba48,MID_RAZOR_991,ORD-2026-1139,CREDIT_CARD,RuPay,setl_51a7af0c0c,2026-04-03 22:45:11,1645.04,32.9,5.92,1606.22,,SETTLED
pay_f613c7a34b3344,MID_RAZOR_991,ORD-2026-1140,CREDIT_CARD,RuPay,setl_311733305f,2026-04-03 23:00:29,9749.62,194.99,35.1,9519.53,,SETTLED
pay_67cfa3b9b8154b,MID_RAZOR_991,ORD-2026-1141,NETBANKING,NA,setl_6d47734d05,2026-04-03 23:15:57,4670.66,93.41,16.81,4560.44,,SETTLED
pay_b777734360ee4f,MID_RAZOR_991,ORD-2026-1142,DEBIT_CARD,Mastercard,setl_efda3675bc,2026-04-03 23:30:27,10509.55,210.19,37.83,10261.53,,SETTLED
pay_814c83d9126648,MID_RAZOR_991,ORD-2026-1143,NETBANKING,NA,setl_6a09baef87,2026-04-03 23:45:06,3939.48,78.79,14.18,3846.51,,SETTLED
pay_5af4c18ca33b4f,MID_RAZOR_991,ORD-2026-1144,DEBIT_CARD,RuPay,setl_0b59287cb7,2026-04-04 00:00:53,10044.33,200.89,36.16,9807.28,,SETTLED
pay_9526b012f6fb4b,MID_RAZOR_991,ORD-2026-1145,UPI,NA,setl_8da5f75a24,2026-04-04 00:15:58,9292.89,185.86,33.45,9073.58,,SETTLED
pay_2f6a79798a484a,MID_RAZOR_991,ORD-2026-1146,DEBIT_CARD,RuPay,setl_adfd46f993,2026-04-04 00:30:40,3256.91,65.14,11.73,3180.04,,SETTLED
pay_271cb24fe04347,MID_RAZOR_991,ORD-2026-1147,CREDIT_CARD,Mastercard,setl_4f7143b637,2026-04-04 00:45:06,13599.35,271.99,48.96,13278.4,,SETTLED
